"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Idaho","ID","Lewis",0,3.17604045224583,3750,0,0,0,3.41705656414377,"Heart Disease",3.41705656414377,"16061"
"Idaho","ID","Lincoln",0,2.9320854347008,4545,0,0,0,3.18144045554324,"Heart Disease",3.18144045554324,"16063"
"Idaho","ID","Madison",3.38807071698303,2.13280261714948,30975,0,1.60999744973829,0,1.20140574995693,"Cancer",2.13280261714948,"16065"
"Idaho","ID","Minidoka",4.14286356227136,2.88882436046818,19014,0,1.97407356804347,0,3.0968471520865,"Heart Disease",3.0968471520865,"16067"
"Idaho","ID","Nez Perce",0,2.29953347851339,37931,0,2.26728703660835,0,2.12706998498606,"Cancer",2.29953347851339,"16069"
"Idaho","ID","Oneida",0,2.77891767661452,4209,0,0,0,3.12666892273598,"Heart Disease",3.12666892273598,"16071"
"Idaho","ID","Owyhee",0.0241320266798193,2.62060218393792,11073,0,2.41193416677046,0,2.29124099936404,"Cancer",2.62060218393792,"16073"
"Idaho","ID","Payette",0.36280918866265,2.66294191189224,22197,0,2.61085383083204,0,2.82574262195544,"Heart Disease",2.82574262195544,"16075"
"Idaho","ID","Power",1.70385843984506,3.12103309309281,7753,0,3.15107079367297,0,2.94585114364112,"Suicide",3.15107079367297,"16077"
"Idaho","ID","Shoshone",3.23033236553268,2.24620448163146,13157,0,2.30889868552652,0,2.46243715578275,"Heart Disease",2.46243715578275,"16079"
"Idaho","ID","Teton",2.65678824404154,3.20101264769418,7467,0,3.11808212817532,0,2.72012485335153,"Cancer",3.20101264769418,"16081"
"Idaho","ID","Twin Falls",2.49784560042184,0.763086663151302,69419,0,1.02238347624493,0,1.19157034796947,"Heart Disease",1.19157034796947,"16083"
"Idaho","ID","Valley",2.00618842617123,3.1039114369049,8332,0,3.25713659930039,0,2.7579838047343,"Suicide",3.25713659930039,"16085"
"Idaho","ID","Washington",2.12303135174074,2.99198496336841,10098,0,0,0,2.89495578541544,"Cancer",2.99198496336841,"16087"
"Illinois","IL","Adams",0.831147638956228,1.62481368127445,67040,0,0.738328398646581,0,0,"Cancer",1.62481368127445,"17001"
"Illinois","IL","Alexander",2.56237591586398,3.61856210081102,8927,2.7136478032825,2.44325701958713,0,3.77560444481454,"Heart Disease",3.77560444481454,"17003"
"Illinois","IL","Bond",2.98498449747439,2.90574960102298,18027,0,0,0,2.81649771805668,"Cancer",2.90574960102298,"17005"
"Illinois","IL","Boone",0,1.13072137654449,50483,0,0.966748640466914,0,0.171821703665734,"Cancer",1.13072137654449,"17007"
"Illinois","IL","Brown",2.77032353401444,3.06190000290947,6835,0,0,0,2.88998657820561,"Cancer",3.06190000290947,"17009"
"Illinois","IL","Bureau",0,2.47554204875457,35330,0,1.72273335974118,0,1.79188779371164,"Cancer",2.47554204875457,"17011"
"Illinois","IL","Calhoun",0,2.94056607737375,5163,0,0,0,3.38992646488599,"Heart Disease",3.38992646488599,"17013"
"Illinois","IL","Carroll",1.35861960623424,2.74283281852927,16086,0,2.35740460394054,0,2.53053615236299,"Cancer",2.74283281852927,"17015"
"Illinois","IL","Cass",1.16939679606743,2.76456366664211,13898,0,2.17804903532444,0,2.60891540245283,"Cancer",2.76456366664211,"17017"
"Illinois","IL","Champaign",0,0,184905,0,0,0,0,"None",0,"17019"
"Illinois","IL","Christian",0,1.66563632212376,35176,0,2.06570986959461,0,1.22120588117792,"Suicide",2.06570986959461,"17021"
"Illinois","IL","Clark",2.98608736420015,2.48383437088208,16976,0,2.47260928818722,0,2.46538599097462,"Cancer",2.48383437088208,"17023"
"Illinois","IL","Clay",0.064617125233254,2.84176040065108,14122,0,2.51166713787655,0,2.59640168554091,"Cancer",2.84176040065108,"17025"
"Illinois","IL","Clinton",2.28210144827234,1.76097958205843,36095,0,1.34046432387887,0,1.38857233624774,"Cancer",1.76097958205843,"17027"
"Illinois","IL","Coles",1.39047436369791,0.279030668986291,51065,0,1.11887494879612,0,0,"Suicide",1.11887494879612,"17029"
"Illinois","IL","Cook",0,0,5303683,0,0,0,0,"None",0,"17031"
"Illinois","IL","Crawford",2.58128183362308,2.61367232411743,19898,0,0,0,2.25564961894803,"Cancer",2.61367232411743,"17033"
"Illinois","IL","Cumberland",0.875783650111607,3.0198543383442,10973,0,2.58387385995258,0,2.72777719279464,"Cancer",3.0198543383442,"17035"
"Illinois","IL","DeKalb",0,0,97665,0,0.40197815671377,0,0,"Suicide",0.40197815671377,"17037"
"Illinois","IL","De Witt",2.66471683255036,2.65592449142421,16617,0,2.33743701979478,0,2.39977290188843,"Cancer",2.65592449142421,"17039"
"Illinois","IL","Douglas",2.75233931731339,2.48281232739334,19950,0,2.22230549857014,0,2.40298533021669,"Cancer",2.48281232739334,"17041"
"Illinois","IL","DuPage",0,0,929113,0,0,0,0,"None",0,"17043"
"Illinois","IL","Edgar",2.73437751487043,2.41232446095986,19157,0,2.07099354795451,0,2.19716231539793,"Cancer",2.41232446095986,"17045"
"Illinois","IL","Edwards",1.75463879452131,2.98102293999839,6784,0,0,0,2.9749471414907,"Cancer",2.98102293999839,"17047"
"Illinois","IL","Effingham",2.52676698184427,1.82857564696998,34581,0,1.74010813571406,0,1.10608835600548,"Cancer",1.82857564696998,"17049"
"Illinois","IL","Fayette",2.83783393046319,2.20786207591994,21713,0,1.88184303557985,0,2.28142374708402,"Heart Disease",2.28142374708402,"17051"
"Illinois","IL","Ford",1.59008660381206,2.79623572789022,14157,0,0,0,2.47008050254567,"Cancer",2.79623572789022,"17053"
"Illinois","IL","Franklin",2.13634230936575,1.49990404371915,39723,0,0,0,0.311301242213115,"Cancer",1.49990404371915,"17055"
"Illinois","IL","Fulton",2.15455045653728,1.2843760582306,37708,0,0,0,0.639548641217158,"Cancer",1.2843760582306,"17057"
"Illinois","IL","Gallatin",3.00650288643668,3.04326059660872,6152,0,0,0,3.28722585444514,"Heart Disease",3.28722585444514,"17059"
"Illinois","IL","Greene",1.77477034445167,2.6959855990671,14581,0,2.49272704387756,0,2.59055410520199,"Cancer",2.6959855990671,"17061"
"Illinois","IL","Grundy",0,1.63165863764779,43838,0,0,0,0.533068411967101,"Cancer",1.63165863764779,"17063"
"Illinois","IL","Hamilton",1.77708611743202,3.03233721642201,8301,0,2.74132513074445,0,3.16325431131139,"Heart Disease",3.16325431131139,"17065"
"Illinois","IL","Hancock",2.33351262965187,2.68966903905167,19153,0,2.07113217313245,0,2.19737024338859,"Cancer",2.68966903905167,"17067"
"Illinois","IL","Hardin",2.89258727036728,3.20558699558962,4718,0,0,0,3.3186617340074,"Heart Disease",3.3186617340074,"17069"
"Illinois","IL","Henderson",1.67698226978676,3.10331303951824,7972,0,2.9671734093857,0,3.14440530022732,"Heart Disease",3.14440530022732,"17071"
"Illinois","IL","Henry",2.0608331426467,1.08146427269282,50591,1.42013275699447,0,0,0,"Homicide",1.42013275699447,"17073"
"Illinois","IL","Iroquois",0.814890171544624,1.68454062286797,30677,0,1.83402086055235,0,1.85781797866606,"Heart Disease",1.85781797866606,"17075"
"Illinois","IL","Jackson",1.3051959086429,2.09052265399103,57954,0,0,0,1.93792793693959,"Cancer",2.09052265399103,"17077"
"Illinois","IL","Jasper",2.24773921048093,3.14495006522194,10020,0,0,0,2.73346544909041,"Cancer",3.14495006522194,"17079"
"Illinois","IL","Jefferson",2.21579040616174,2.36741629392257,40434,0,0,0,2.48899143869819,"Heart Disease",2.48899143869819,"17081"
